TIME,27.4658,30.2124,32.959,35.7056,38.4521,41.1987,43.9453,46.6919,49.4385,52.1851,54.9316,57.6782,60.4248,63.1714,65.918,68.6646,71.4111,74.1577,76.9043,79.6509,82.3975,85.144,87.8906,90.6372,93.3838,96.1304,98.877,101.624,104.37,107.117,109.863,112.61,115.356,118.103,120.85,123.596,126.343,129.089,131.836,134.583,137.329,140.076,142.822,145.569,148.315,151.062,153.809,156.555,159.302,162.048,164.795,167.542,170.288,173.035,175.781,178.528,181.274,184.021,186.768,189.514,192.261,195.007,197.754,200.5,203.247,205.994,208.74,211.487,214.233,216.98,219.727,222.473,225.22,227.966,230.713,233.459,236.206,238.953,241.699,244.446,247.192,249.939,252.686,255.432,258.179,260.925,263.672,266.418,269.165,271.912,274.658,277.405,280.151,282.898,285.645,288.391,291.138,293.884,296.631,299.377,302.124,304.871,307.617,310.364,313.11,315.857,318.604,321.35,324.097,326.843,329.59,332.336,335.083,337.83,340.576,343.323,346.069,348.816,351.562,354.309,357.056,359.802,362.549,365.295,368.042,370.789,373.535,376.282,379.028,381.775,384.521,387.268,390.015,392.761,395.508,398.254,401.001,403.748,406.494,409.241,411.987,414.734,417.48,420.227,422.974,425.72,428.467,431.213,433.96,436.707,439.453,442.2,444.946,447.693,450.439,453.186,455.933,458.679,461.426,464.172,466.919,469.666,472.412,475.159,477.905,480.652
0.000000000,1029.1,950.353,1653.08,1531.71,1137.91,1206.25,1261.85,1536.05,2219.72,4159.07,6394.44,7006.69,10050.6,15267.4,13506.6,5715.09,938.386,108.615,132.539,270.438,318.042,197.819,79.8871,31.8755,382.601,826.513,596.907,284.333,453.088,722.949,727.274,380.264,220.742,325.963,234.352,133.028,698.301,1759.64,1770.24,696.467,256.279,667.048,879.979,679.236,709.365,896.548,797.636,504.927,310.859,530.792,604.507,198.337,64.483,216.907,436.354,735.277,652.282,347.084,253.929,1648.99,7708.36,15121.4,14793.8,9491.96,7883.79,7221.4,4005.42,1643.22,1181.48,1195.55,1105.29,1042.13,1701.62,1967.86,1181.62,1265.7,2348.14,2657.57,2049.42,1433.73,2088.74,4756.05,8646.22,23353.5,54116.9,68001.1,44328.6,16734.5,7269.79,3976.92,1401.21,1252.53,2006.72,2256.26,1609.51,831.886,989.459,1397.46,1112.17,937.987,1032.45,927.92,1063.6,1791.82,3348.35,4564.76,4883.95,7542.75,11163.8,9298.52,3723.93,585.246,8.71558,81.5337,269.69,229.96,70.1223,3.54459,71.4952,374.111,545.069,337.767,231.035,362.601,502.539,469.583,258.417,151.678,162.796,161.369,376.659,1279.65,2198.59,1740.96,664.291,599.638,1125.81,1037.35,691.029,877.12,1043.15,793.199,448.578,433.632,791.118,657.587,173.419,197.161,368.208,433.283,606.871,592.7,396.309,352.754,2058.77,8452.62,15088.2,13551.1,8378.21,7085.4,6028.94,3146.38,1527.62,1209.14,1060.3,851.417
1.365333333,965.508,798.607,2061.33,1640.02,1025.82,1312.85,1167.36,1589.89,2164.73,4488.58,8011.81,7430.8,10604.2,21693.2,20391.7,7408.4,855.498,77.8039,109.365,288.962,389.365,194.745,83.4055,6.20105,506.629,1248.76,698.964,198.286,520.292,774.213,948.73,405.848,167.924,421.955,214.004,92.9818,732.07,2575.07,2533.05,680.082,186.341,744.617,1116.3,627.076,734.136,1076.7,839.076,575.457,225.96,613.703,880.16,205.187,57.6364,216.643,437.431,920.881,731.471,296.83,186.859,1558.38,10217,22367.6,19672.8,9380.39,8943.67,9245.02,4413.23,1449.28,1176.23,1161.68,1192.93,874.359,1899.77,2490.98,1006.64,1211.74,2719.24,2971.07,2160,1236.39,1891.94,5203.66,9031.91,24570.7,76799.2,105153,58729.2,16140.8,8234.94,4306.27,1178.22,1105.8,2273.67,2534.75,1813.57,694.854,971.64,1725.11,1074.43,914.895,1130.14,863.15,1034.14,1803,3784.13,5590.42,4980.07,8301.27,16243.8,14230.3,4937.87,608.686,20.8933,110.11,377.634,307.783,64.3907,3.345,72.6163,536.541,767.481,329.513,208.31,396.168,550.675,596.906,243.483,139.21,159.457,141.416,330.698,1535.38,3173.8,2235.69,546.435,559.073,1366.69,1271.56,542.355,1027.78,1217.31,834.354,469.072,337.917,1042.21,900.378,105.766,223.879,391.566,411.736,678.206,656.708,344.322,274.913,1980.1,11353.5,22443.3,17548.5,8041.94,8362.5,7556,3221.63,1445.51,1218.74,1061.75,866.957
2.730666667,848.924,521.937,2377.24,1508.43,761.911,1277.11,860.977,1481.59,1724.22,4255.5,8700.42,6908.97,9067.49,27054.8,27502.3,8185.06,736.257,23.9566,97.6106,245.017,467.048,141.187,87.3495,3.64576,614.915,1695.71,778.743,98.3117,540.933,672.96,1106.71,435.404,107.458,531.911,140.408,71.062,633.995,3448.66,3283.77,534.911,124.447,700.84,1321.84,450.82,691.488,1137.47,725.119,596.081,114.865,671.915,1149.13,230.572,65.947,208.682,342.182,1111.23,646.945,255.041,82.6969,1326.05,11685,29559.8,22715.7,7458.05,8842.3,10338.6,4325.25,1017.35,1022.75,944.806,1135.39,582.626,1858.55,2897.1,672.778,1059.86,2733.17,2860.78,1976.83,846.878,1583.27,4642.37,8728.48,20743.1,95184.4,145108,66719,12692.6,8202.23,4036.98,831.616,895.529,2167.31,2510.74,1741.4,514.963,813.203,1960.7,841.261,784.071,1087.49,649.804,892.753,1491.27,3782.54,5850.45,4451.04,7452.13,20827.9,19349.5,5536.38,598.975,48.121,119.864,473.446,395.118,41.0024,7.07696,86.5815,664.514,982.539,274.366,174.768,367.905,511.879,679.069,205.082,109.923,147.261,96.9645,247.949,1575.11,4158.65,2548.3,342.712,432.429,1454.1,1461.8,280.598,1120.41,1228.41,723.974,470.133,177.741,1281.23,1109.98,59.9641,234.521,391.474,293.515,720.979,569.974,296.879,164.051,1621.36,13288.8,29879.3,19637.6,6178.22,8625.46,8346.83,2812.84,1179.12,1035.62,918.203,770.474
4.096000000,717.242,279.433,2576.39,1189.77,491.027,1047.8,524.716,1198.17,1137.6,3612.78,8321.66,5509.99,6145.37,30017.6,33840.7,7734.3,644.399,4.40915,84.8126,210.498,516.264,72.8085,88.8156,26.8499,677.697,2091.67,881.885,64.4623,482.227,490.454,1124.04,511.206,109.721,628.153,70.728,59.1992,498.235,4224.35,3943.09,345.798,74.3763,593.203,1451.4,248.539,615.732,1044.41,519.073,542.638,55.2462,737.953,1363.26,271.62,91.5714,197.322,212.155,1269.61,484.801,223.335,4.90207,1051.91,11618.1,35634.3,22959.7,4720.77,7324.97,10402.7,3810.11,581.295,713.433,678.816,903.43,309.69,1626.43,3144.39,353.648,871.214,2360.87,2414.37,1497.59,511.123,1142.25,3536.86,7453.36,13733.4,104947,181776,65924.4,8305.46,6659.39,3552.84,452.151,676.639,1759.82,2177.24,1418.62,365.949,614.474,2083.48,507.583,617.259,884.689,401.401,673.196,976.313,3409.34,5239.07,3491.22,5325.09,23945.3,23846.7,5235.53,592.086,84.4603,89.4409,579.712,469.039,17.5663,15.9912,109.154,714.013,1157.39,217.044,157.62,278.785,412.454,682.939,175.113,88.6779,126.687,56.3176,155.255,1427.14,4947.1,2687.82,136.591,254.375,1401.61,1591.09,56.8031,1139.7,1066.16,515.854,443,48.5676,1497.05,1254.13,56.5145,224.288,374.653,141.482,736.493,369.038,279.473,66.2429,1124.98,13778.4,36295.9,19102,3807.51,7449.94,8447.07,2042.95,908.975,673.416,725.236,565.226
5.461333333,594.809,225.48,2641.99,838.554,277.328,738.898,238.498,866.065,646.396,2801.57,7240.83,3511.01,3055.7,30281.3,38317.1,6412.13,576.644,77.3558,86.6059,210.711,545.222,21.8582,88.2983,64.4394,683.146,2326.8,1073.96,140.789,359.893,308.683,965.437,650.229,241.737,688.214,40.1792,44.7647,391.973,4840.45,4418.48,223.57,33.0701,480.198,1483.74,134.814,548.891,812.245,304.496,432.356,98.9688,848.649,1459.1,319.239,127.17,185.06,128.236,1370.21,356.352,200.846,54.8228,771.239,10286.2,39447.6,20830.8,2253.3,4770.98,9649.54,3104.55,265.507,406.916,402.702,606.976,133.978,1321.61,3233.41,221.674,675.548,1758.17,1737.8,985.126,231.052,726.592,2430.46,5177.5,6767.21,104767,209775,57651.2,4698.33,4149.1,2893.59,267.167,466.737,1184.19,1684.45,929.334,297.012,509.619,2083.04,233.819,433.058,625.686,182.544,438.074,494.75,2720.21,4148.09,2274.4,2830.72,25207.8,26896.3,4219.15,579.776,121.592,56.3925,654.854,544.483,8.10513,30.4949,127.287,676.564,1237.54,225.419,170.089,158.439,302.607,579.892,195.125,103.78,101.73,36.9753,82.2575,1140.56,5463.29,2682.65,20.0908,93.4476,1229.69,1660.2,12.5172,1095.87,774.262,292.101,385.263,44.1083,1683.85,1302.98,88.7617,205.314,343.692,41.0509,714.685,167.296,264.17,76.0253,637.193,12996.4,40540.4,16558.7,1846.59,5154.79,7963.74,1305.5,662.107,328.471,507.703,334.478
6.826666667,422.133,426.553,2612.36,584.011,141.999,438.857,91.8822,605.148,349.637,2199.2,5791.05,1532.49,905.652,28569.9,40361.2,4845.46,491.024,206.886,138.65,304.34,542.127,9.82881,75.437,117.907,582.516,2415.21,1326.89,292.039,246.771,165.452,697.299,789.918,533.856,723.755,37.7056,28.5156,370.695,5247.61,4686.93,209.866,9.83371,381.326,1438.86,191.935,480.725,534.534,135.558,316.809,230.812,986.594,1450.15,322.36,175.186,161.861,123.872,1407.28,372.791,238.444,218.153,490.605,8324.43,40403.8,17813.7,764.391,2181.61,8225.64,2567.37,112.138,181.987,209.244,340.746,59.7827,1049.4,3226.78,359.407,433.482,1177.18,1062.9,467.256,164.129,536.219,1361.24,2707.42,2192.18,97016.8,226268,46370,2451.16,1924.34,1923.71,321.215,402.608,602.073,1097.63,528.729,241.944,571.291,2029.16,113.714,255.164,376.71,67.0937,266.333,140.981,1987.33,2963.86,1069.4,972.767,24874.5,28141.1,2908.95,519.848,150.739,23.4471,741.306,607.108,16.2268,38.7613,150.259,528.631,1251.99,307.036,187.851,72.235,209.928,397.314,264.463,178.599,103.351,29.141,39.5645,848.926,5661.31,2635.06,4.18779,10.5675,984.975,1664.55,218.684,975.055,465.011,114.416,310.549,192.791,1801.55,1288.72,112.56,203.022,283.418,30.1163,692.855,44.1578,285.054,198.418,264.821,11414.1,42024.1,13528.1,747.749,2724.86,6906.52,972.062,477.122,108.065,335.805,151.735
8.192000000,225.331,849.179,2534.81,443.983,89.2703,214.393,61.2624,490.901,318.834,1893.82,4253.2,298.898,64.0628,26222.1,40021,3625.07,370.666,323.477,257.184,517.093,521.631,15.7923,59.8269,173.811,403.702,2360.24,1616.08,412.966,185.449,106.897,383.558,903.29,955.801,710.677,51.6423,17.9091,441.101,5402.86,4775.54,275.233,6.3709,323.305,1301.22,422.507,421.112,276.928,60.1612,231.717,368.604,1136.01,1342.87,266.865,215.378,150.71,168.072,1349.1,639.892,369.722,396.358,250.033,6368.65,38677.4,15636.9,250.538,592.79,6447.42,2228.14,137.34,104.704,113.651,158.925,66.993,825.709,3201.32,731.726,193.806,720.821,535.115,130.667,247.94,488.784,536.882,937.744,267.265,87296,230114,38038,1266.93,625.189,993.962,487.835,389.836,208.154,594.42,276.382,156.598,835.501,2005.15,118.735,126.372,190.182,38.9782,198.767,5.49633,1371.38,1928.35,264.929,235.404,23647.9,27769.2,1769.78,409.455,159.923,14.094,866.985,658.213,27.5854,39.2765,168.612,329.153,1205.63,447.351,181.809,44.6135,166.06,186.27,371.484,322.281,144.047,22.8615,17.8835,676.971,5562.72,2620.67,47.0895,5.99582,765.812,1549.61,602.455,828.182,211.199,20.6011,241.35,410.256,1844.06,1229.84,101.52,209.433,230.634,77.913,652.661,111.861,377.862,342.126,61.1581,9591.33,40811.7,11662.9,350.36,1119.09,5499.42,1025.23,382.387,84.4679,232.709,44.3724
9.557333333,88.2245,1304.73,2435.42,386.934,93.7937,112.843,80.2575,584.029,430.438,1713.21,2959.45,23.6729,209.827,24267.4,38063.8,2964.32,197.637,424.165,388.184,762.116,569.401,9.76517,71.1503,201.987,251.386,2071.08,1973.54,414.936,165.746,180.779,110.955,1050.61,1330.12,657.07,71.2023,9.44854,580.617,5246.41,4720.83,365.704,7.66523,302.821,1118.95,658.398,419.649,85.5956,110.974,184.292,409.164,1341.41,1071.38,206.864,210.554,189.136,160.887,1321.49,1064.67,541.433,542.758,63.9418,4797.85,35156,15221.5,311.023,288.686,4762.01,1917.63,247.846,213.358,108.797,102.565,115.431,683.879,3167.27,1144.51,43.3035,455.379,188.068,1.17571,424.904,417.811,167.173,162.709,41.9895,79760.1,223696,35766.2,676.943,159.357,450.27,523.832,466.767,69.8607,250.463,176.827,75.4923,1243.74,1998.41,197.546,67.1709,120.96,51.2762,254.78,72.2082,866.241,1206.88,19.5939,469.262,22117.9,26468.3,1106.11,245.429,163.431,60.1174,951.313,773.836,21.7373,45.5142,174.382,187.111,1025.34,648.457,144.311,52.8715,201.182,24.6312,548.211,486.2,185.425,28.3493,16.4357,682.578,5207.42,2638.25,108.104,35.4743,585.333,1373.77,915.551,747.725,41.047,30.3892,199.547,521.956,1925.52,1049.47,83.5656,191.718,230.98,93.1629,672.529,374.637,494.046,441.004,5.14745,7900.21,37580.2,11765.7,276.93,605.618,4094.59,1235.53,301.979,256.563,237.614,7.83787
10.922666667,73.5658,1533.47,2318.47,416.777,134.027,149.758,130.665,831.878,536.475,1516.66,2168.06,194.995,610.679,23365,35241,2713.24,45.7205,487.873,461.596,971.644,723.525,4.12672,145.661,192.363,168.428,1631.03,2261.12,351.451,167.125,431.709,37.2663,1330.91,1435.89,592.266,93.0914,14.7023,756.19,4759.6,4424.55,490.509,13.7388,307.005,986.622,675.929,519.074,54.081,308.039,162.56,358.709,1535.15,711.261,171.779,165.684,318.873,66.9341,1423.21,1496.89,669.05,623.495,3.58114,3546.66,30926.4,16510.6,530.204,603.711,3496.09,1606.2,348.14,480.602,220.416,208.951,187.942,706.86,3118.61,1332.56,9.01163,346.503,23.6084,63.0988,662.105,323.953,86.7954,19.9386,436.99,75358.4,210638,38806.8,445.861,124.26,211.338,393.474,626.931,205.159,137.737,174.055,79.1124,1582.78,1959.85,333.451,90.4705,189.706,107.003,417.253,222.929,506.145,858.038,72.193,1007.91,20795.9,24819,973.144,95.7536,165.341,127.077,979.08,967.837,22.4778,94.8407,172.598,136.585,758.975,821.563,118.874,67.6915,361.505,47.8632,831.485,592.362,191.913,54.2185,37.3616,860.398,4702.17,2491.61,191.394,65.2409,441.495,1223.35,916.437,784.736,8.9101,151.917,189.109,465.448,2043.9,794.787,73.1703,154.478,324.031,36.6281,821.318,762.153,569.834,460.813,96.5248,6237.31,33359,13555.9,293.87,656.985,2955.32,1411.13,227.762,525.253,380.501,60.2149
